owner,name,industry,confidence,reasoning
UPT-FAING-EPIS,PlanMaster,"M - Actividades profesionales, científicas y técnicas",0.9,"El proyecto PlanMaster es una aplicación web diseñada para ayudar a las empresas a desarrollar y gestionar sus estrategias tecnológicas, lo cual se alinea con servicios profesionales y técnicos en el ámbito de la planificación estratégica y gestión de tecnologías de información."
UPT-FAING-EPIS,p1k4chu_misalon,P - Enseñanza,0.9,"El proyecto 'MiSalón UPT' es una aplicación móvil diseñada específicamente para la Universidad Privada de Tacna (UPT) con el propósito de gestionar y visualizar la ocupación de salones de clase, lo que indica su uso directo en el contexto educativo."
UPT-FAING-EPIS,si784_2025-ii-lab_2025_ii_cps_u3_01-lab_ci_pruebas_01,P - Enseñanza,0.95,"El repositorio parece ser parte de una actividad académica, específicamente una sesión de laboratorio enfocada en la gestión automatizada de pruebas con GitHub, lo que indica su uso en un contexto educativo."
UPT-FAING-EPIS,si885_2025-ii-proyecto_si885_2025-ii-u3-proyecto-formatos-01,P - Enseñanza,0.95,"El nombre del repositorio y la descripción indican que fue creado por GitHub Classroom, lo que sugiere que es parte de un proyecto educativo o universitario."
UPT-FAING-EPIS,burrita_app,P - Enseñanza,0.95,"El proyecto es un sistema de gestión y seguimiento de transporte universitario específicamente desarrollado para la Universidad Privada de Tacna, lo que indica una aplicación directa en el contexto educativo."
UPT-FAING-EPIS,si784_2025-ii-proyecto_si784_2025-ii-u3-proyecto-formatos-01,P - Enseñanza,0.95,"El nombre del repositorio y la descripción sugieren que es un proyecto creado en el contexto de una clase o curso universitario, indicado por 'proyecto' y 'GitHub Classroom'."
UPT-FAING-EPIS,si889_2025-ii-proyecto_si889_2025-ii-u3-proyecto-formatos-01,P - Enseñanza,0.95,"El nombre del repositorio y la descripción indican que fue creado por GitHub Classroom, lo que sugiere que es un proyecto universitario o educativo."
UPT-FAING-EPIS,Practice-laboratory-facade-SebastianFuentes,J - Información y comunicación,0.75,"El repositorio describe la implementación de un patrón de diseño de software (Facade) aplicado a un sistema de gestión de pedidos empresariales, lo cual indica un enfoque en el desarrollo de software y tecnologías de la información más que en una aplicación específica a una industria concreta."
kevinrodbe,dica,Desconocido,1.0,No hay información proporcionada en la descripción ni en el fragmento del README para realizar un análisis y determinar a qué categoría pertenece.
kevinrodbe,rodbe,J - Información y comunicación,0.95,"El repositorio parece ser un kit de inicio para proyectos Astro, que es una tecnología web. Esto indica que el software está relacionado con el desarrollo web, lo cual cae bajo la categoría de Información y comunicación debido a su naturaleza técnica y de soporte a la infraestructura digital."
